genre,title
1,Shoe-Shopping High
1,Self Examination of His Wifes Breasts
1,Puffy Onyx
1,Lemon Intermezzo
1,The Plywood Curtain
1,Electric Guru
1,Booger-Flicking Winners Go Freeh
1,Vert
1,Do I Tingle?
1,"Up, Two?"
1,6:30 Encephalitis Spraydown
1,Everyone - am Masterbate
1,The Hymn of the Honeymoon
1,.07 Sec
1,The Lower Frequencies
1,We Would Be Friends
1,Joe Pico
1,Artificial Breasts Are Not New
1,Thinking About You
1,Chock Fool of Nuts
1,Haymaker
1,Hello from Ohio
1,Spider Season
1,Black Mold
1,Death March
1,Graverobbin
1,Psychic Violence
1,Scrilla
1,The Fly Pt. II
1,Vietnam
1,Sunsplash Dreamland
1,DopeSick
1,Wasteland
1,Just Like A Rose
1,Explosions
1,Big Nose
1,Baby
1,Today
1,Dont Wanna Die
1,Things You Say
1,Comin Down (The Wall)
1,Tomb Of Science
1,Six Realms
1,Escape From the Organ Chamber
1,Aimless Journey
1,Last Nail In the Coffin
1,Boo Hod
1,Blastered
1,Take a Walk
1,If I Cant Smoke & Swear Im Fucked
1,Kicking & Screaming
1,Yr. Life Is a Curse
1,Bariwax
1,2012
1,Song Recorded Immediately Upon Return from X-Ray Eyes tour 96
1,Beautiful Song w/ kick drum solo
1,Or So Ive Been Told
1,Heya
1,South Street Bridge
1,Dawn of Swords
1,"Turk, Taylor and Jones"
1,My Hands Are Turning To Bricks
1,Another Corporate Takeover
1,Inheritance
1,Make Us Pay
1,Dirty Bomb (excerpt)
1,FM 91.1
1,Times I Despise
1,Black Cloud Pt 2
1,Masters Of Science Fiction
1,Wilder Climes
1,Cut 1
1,Cut 2
1,Cut 3
1,Cut 4
1,13 Monsters
1,Dracula Mountain
1,Live with Steve MacKay of the Stooges
1,Les Jardins (De Lbouli)
1,Electric World
1,Wide Mouth Penetrated Makeshift Mustache Man
1,Polluted Man
1,Troubled
1,Claws That Bite
1,Vacationland
1,Tryin To Avoid The Suburbanoids
1,Tell The Police The Truth
1,Rare Vodka from the Fourteenth Century
1,Song 1
1,Up With People
1,Song 3
1,Song 4
1,Nautilus
1,Florida Blue
1,Black Hole
1,Steppin Fetchit Again
1,I Sell Love
1,Think of Me
1,Sensual Pleasure
1,Silent Sex
1,Do I Tingle? Up?
1,The Smallest Lie
1,Oscillator
1,Clowns In My Galaxy
1,Bunny Bought a Spaceship
1,The Bastard
1,Beginning with Dissuader
1,Dumbfinder
1,In Abstracted Fashion
1,The Future of Lint
1,New Lilith/Flashing Timex
1,I Wont Hold It Against You
1,The Length of a Drag
1,Spring Trajedy
1,Since Before Inertia
1,---
1,Walk To The Fire
1,International Hello
1,Sea Monkeys
1,Model Citizen
1,45 Revolutions
1,Bombshell
1,Comeing Down
1,Lovesick
1,Getting Up
1,Massive Action
1,D.Y.I
1,Ghost & Shadows
1,Lapse/Relapse
1,Washington Beach
1,Dont Feel Alright
1,Lazy Suicide
1,Insomnia
1,Uneasy
1,Bad For Business
1,Black Market
1,Too Late
1,Voice Of Degeneration
1,Life In A Box
1,Parasite For Sore Eyes 
1,Chatter #1  : P
1,Queen Bee
1,Chatter #2  : (
1,Shoes
1,Chatter #3  ;  \
1,No Route
1,Me & A Gun
1,Vampires In My Neighborhood
1,Ghost & Shadows ( REPRISE )  
1,Dont Lead Dont Follow
1,Demon Inc
1,Black Pearls
1,Lasarus
1,Dispatcher
1,Up
1,Blood and Mirrors
1,Disorder
1,Galiens
1,Life Coach
1,Gateway Shrugs
1,Russian Bear
1,Adhalatrannas
1,Cocksuckerbastardmotherfucker
1,Give Up
1,No Chance
1,"No Tongue, No Talking"
1,Stumpf
1,Van v Art
1,Childs Eye
1,history
1,Control
1,asteroids collide Track 2
1,Ghost
1,k012
1,WoolShit
1,kin
1,its all right
1,k011
1,Combat Phone
1,Rock Roller
1,Guranteed
1,Pirate Radio
1,Carpenter
1,sin sin Natty
1,Deal Fuzzong
1,The Picket Fence
1,White Walls
1,Weekend Warrior
1,Its Not Like
1,Doctor Spins
1,Lights on Einstein
1,Fools Want Noise
1,Elevator Shaft
1,Cowgirl Blues
1,This is Entertainment
1,Chalino Stump
1,Moron Song
1,I want My Money
1,30 Seconds
1,All Dressed Up
1,Time Has Come
1,How Many Ours
1,"These Guys Dont Take Requests, They Dont Play Showtunes"
1,Oh That Time
1,Olney At The Top
1,Downtown
1,Roll Over
1,The Collector
1,backwards
1,Ballad
1,Sanchez
1,Open Wide
1,OSS Ass
1,untitled
1,Immigrant Radio
1,There Are So Many Fish In Heaven Part Two
1,Dead Living
1,Lady Love
1,"Remember, Forget"
1,Accidental Acid Rain
1,Robot Slayer
1,MG79
1,Rangarok
1,Arizona Beach
1,Guns of Thunder
1,Caroline
1,In My Brain
1,Shades
1,The Wait
1,No Vision
1,Supreme Husk
1,Caged Firetheme
1,The Decadent Streak
1,Blistering Black
1,I Feel Evils
1,Burning Saddles
1,Start A Corporation
1,Little Crimes
1,Pulling Yarns
1,I Opened the Package
1,"No, No, No!"
1,They Ripped Up My Mind
1,The Moving Picture
1,Sing a Pleasant Song
1,I Dont Care
1,Watch Out
1,Sold
1,Get the Chainsaw
1,Getting Older
1,Michael
1,Not Consumers
1,Scovil
1,Alpha-Generic
1,Dissection of the Squid
1,Driving
1,Grain of Salt
1,Graphite Will Grovel
1,I Invented You!
1,I cant find a place to park (featuring Alexis Arquette)
1,"No, Not Ever"
1,Retirement Song
1,Thats Right (dissatisfaction of the squid)
1,social climber
1,Nates Face
1,SSG Live
1,Smokers Tooth Polish
1,Cold
1,SSG Live
1,Sold It all
1,Figure It Out
1,Pissed Kirstofferson
1,SSG Live
1,Hamburgini
1,SSG Live
1,When Buddy Comes Back
1,SSG Live
1,Staff On The Back
1,Why Dont You Trust Me
1,Five Years
1,SSG Live
1,Waltz Walk Win
1,One Jack One Jerry
1,SSG Live
1,St Patrick
1,Warm Smile
1,2am Wetspot
1,SSG Live
1,Sun Up
1,Chesthair
1,Emergency Room
1,I Remember You
1,Warmer Smile
1,Curtains Down
1,Ripe Off The Vine
1,The Revealed and Given Way (edit)
1,Orpheus In the Underworld
1,Ecclesiastes 5-3
1,Kay Llamawan Runa Kani
1,Out of Sky
1,In the Pineys
1,Slingshot Sounds
1,Song Of Mourning Dove
1,Mysterious Girl
1,They Broke the House
1,In Tongues
1,Fruits of God
1,Puppy Kontrol
1,I Got Medicine
1,"Hell Yeah, Fuck Em"
1,Grab Yr Nuts
1,Supermarket Slapfight
1,Tender Sunburnt Eyes
1,Lactose Blackhole
1,Harken Sunshine
1,Intro - Tongues
1,Faceless Nameless
1,Strong Arms
1,Math
1,Beast
1,Change My Oil
1,Band Meeting
1,Laid Back
1,Thurston Moore Sed
1,Evolution
1,CottonBlessMe
1,Blades
1,Cheerz
1,Gravity Rules
1,The Barn
1,Even When The Sun Comes Down
1,Harsh Dinner
1,Square Roots
1,TanksAreStrong
1,Hops
1,Track 12
1,Basement Electrodes
1,Da Lights
1,The New One Two
1,Seasons of Swarm
1,forget
1,Triplets
1,Another Planet
1,Selective Memory
1,"(Narcisistic And Sadistic, Nihilistic) Tick Tick Tick Tick!"
1,Her Opening
1,My Continent
1,Stereophonic Nagging
1,At the Disco
1,"I Am Air, You Are Hair"
1,Porch Light Summer Staffhouse
1,Encephalitis
1,Shes Blonde She Matches
1,The Devil Told Him
1,Signs on the Ceiling
1,Were Flying Around In Our Haunted House
1,Wrinkle Star
1,Backseat Upstairs
1,Cemetery
1,Jaws Drop Baby Side
1,Angel on the Earth
1,Beach Ball
1,Shazamm
1,Bitch Bitch Bitch
1,Start from Scratch
1,Why Not More?
1,At the Gym
1,Doctor Hines Office...
1,The Secret
1,Class One A Clear Channel Station
1,I Turned on My Brand New Liberace CD
1,Prickly Vacation
1,Bramble Thorns
1,Im a Mosquito
1,Wib Salami
1,06:30 AM
1,In the Shade of Her Lemonade
1,The Hidden Woman
1,Anchovy Eye
1,Green Glass Gates
1,Your Body Is Out of Control
1,Lamb
1,Singersongwriters
1,The Diamond Heist
1,Beach Baby
1,Mr. Man
1,Everything Is Blooming
1,Finally We Have No Hair
1,A Tree & a Stone
1,I Am the International Banana
1,Prickly Vacation
1,Birth of a Baby
1,Do I Tingle? Up?
1,Sgt. Sunshine & You
1,c.c. To Andy
1,Barefoot Sound
1,Mr. Feleppa...Goes to...
1,Noyac Bay
1,And In Time
1,If We Dont Realise
1,Between
1,Babies
1,Dont Blame Me
1,I Do What I Do
1,I Found Love
1,Mob City Hustle
1,Somewhere New
1,Wandering
1,Kingsmeat
1,The Freak Was Clean
1,Quadrospazzed
1,Kids In Cars
1,Downtown
1,Sleeping Chance
1,Sterling
1,Both Sides
1,Afterture
1,So Thereby...and furthermore...thus henceforth...Mono
1,Bald Bull
1,Black Socks
1,Drug Orgy
1,Hand Of Doomish
1,Who Farted
1,Volume One
1,Shamanix
1,Olympic Sue
1,Looming Vesuvius
1,Tight Thuds
1,Hillyard Era
1,Rubes
1,Dirty Wise
1,Rancid Hearts
1,Chairman of the Ask Me Society
1,Dead Ray
1,Holy Face
1,Spectacle Bears
1,Crunch Year
1,Monster Pie Fake
1,Casual Strikeouts
1,Shitbreath
1,Jeff Lynne Funk
1,City of Industry
1,King of Prussia
1,Chadron
1,Barrow
1,Burbank
1,Miami
1,Ft Leonard Wood
1,Federal Way
1,Renwick
1,Mobile
1,Mt Pleasant
1,Baltimore
1,Battle Creek (Theme for Boiled Diet Soft Drinks)
1,Swamputee
1,Lyxes: Leave this town
1,Unpop: I am writing to let you know that things are going ok
1,untitled:will you please sing on this
1,stop standing still
1,Take a Look
1,Hoboken Sucks
1,Mergatroid
1,Angel Duster
1,Corsair
1,Ode
1,Bullet Train
1,Boys Life
1,Bad Kids
1,Crystal Clear
1,White Hammer
1,Beat It 2 Death
1,Oct-99
1,Taste My Snow
1,Question Democracy
1,Higher
1,Come To Rest
1,Less Is More
1,Media
1,Dance With Local Stars
1,Tell Me
1,I Dont Wanna Die
1,Woodland Drive
1,Glitter and Gold
1,Zig Zag
1,Back to School
1,Living in the Past
1,People Talk
1,When Tomorrow Comes
1,Penny and Jenny
1,Handyman
1,Wild Life
1,Down the Tubes - Falling Down
1,Over Again
1,Trip to the Zoo
1,Eye On The Dollar
1,Title Unknown
1,Little Kingdom
1,Title Unknown
1,On The Wings
1,Title Unknown
1,TBA
1,Title Unknown
1,TBA
1,Title Unknown
1,Former Child
1,Title Unknown
1,Vomiting Mirrors / Missing Dick
1,New Slow
1,Deaf Man Talking
1,Black Baby
1,Early Man
1,Prelude
1,The Ship
1,Points of View
1,Good Looking Boys Or Women
1,Trucking By
1,Hairy Wine 2
1,Man v. Cock
1,Please Ban Music/Gegen Alles
1,It Is My Duty
1,The Dazzled
1,Shattered Shine
1,Converging In The Quiet
1,Graveyard Orbit
1,Crystal Stilts
1,Sycamore Tree
1,The City In The Sea
1,Live on WFMU 9/4/08 (full set)
1,Part 1
1,Part 2
1,Part 3
1,Part 4
1,40 Miles of Bad Road
1,Dead Moon Night
1,Down the Road
1,Johnnys Got a Gun
1,Sabotage
1,Spectacle
1,These Times With You
1,Army vs Navy
1,I Was So Bored I Wanted To Hang Myself on the Dancefloor
1,Rearranging the Digital Deck Chairs
1,Time Is Nigh
1,Gogol Was Rollo
1,Gibraltar
1,Live on WFMU 1996 (full set)
1,Houdini
1,I Love You Go Away
1,Trouble
1,I Want
1,Ha Ha Song
1,I Sleep On The Porch
1,Watch Me Do This
1,Did You See Her
1,All That You Choose
1,Go Wow
1,Charity Girl
1,My Phantoms
1,Happy Times
1,Sylvie Says
1,Shining
1,Repetition
1,High and Dry
1,Days of Summer
1,Live on WFMU 9/13/08
1,You re Better Than a Dog Detective
1,Clubtraxxx II
1,Crybaby
1,Materialist Crap
1,National Jamthum
1,T.A.K.E.
1,Burnin Hell Blues
1,NY Surf
1,I Want to Lose Control
1,Cindy
1,You Keep On Looking
1,Chromium Bitch
1,Groovy Girls Make Love at the Beach
1,When You Walk Into My Dreams
1,You Think You Really Know Me
1,And Then I Kissed Your Lips
1,Forgotten Lovers
1,6 point 4 equals Makeout
1,interview
1,Birdsong
1,Bastards
1,Some Kinf of Weapon
1,Nineteen Hundred and Eighty Five
1,yet to be titled
1,Burst
1,post-set interview
1,full set
1,Cave In
1,Crosswords
1,Rutherford B. Hayes
1,Serpent Mound
1,Love to the 3rd Power
1,Obama Logs
1,Aesthetic Insanity
1,Letter To a Fanzine
1,Crime of the Scene
1,Family Adam
1,Sorry About The Boat Race
1,Crime of the Scene
1,Family As Old As Adam
1,Feeding Me Back
1,Get It Straight
1,Hole In My Eye
1,Melonhead
1,Im Quitting
1,Mimehunter
1,Tonight We Ride
1,"Beaten, Threatened, Reviled and Despised"
1,Dirty Poncho
1,Got Got?
1,Drive The Whip
1,Got Got?
1,Tonight We Ride
1,Hole In My Eye
1,Symptomatic
1,My Anger
1,Garbage Star
1,Interview with Brian Turner
1,Celebrity Virgin
1,Live on WFMU (full set)
1,Interview with Terre T
1,Live at WFMU (full set)
1,Walking on the Water
1,Pow Wow
1,Swans
1,Nunnery
1,Temporary Famine Ship
1,West Alabama
1,Lost My Sight
1,Zieh Die Jacke Falschrum An / Schwanzverglisse
1,Cotton Bolls
1,Cryst
1,Lupus
1,King Of Sex
1,I Am I Said
1,Sonnet
1,New Pants And Shirt
1,Live Your Life Like You Dont Exist
1,Gates Of Heaven
1,(Interview)
1,Sweet Home Alabama
1,Improv
1,Snowy Parts of Scandinavia
1,Shelley Winters Overdrive
1,Schedule For Using Pillows and Beanbags
1,Waves of Second Guessing
1,Rhode Island Freakout
1,Edge Set
1,Sacrifice
1,Sunday
1,Take It All
1,Fall From Grace
1,Tanpura
1,Obscene
1,Dance Song
1,I Dont Like You (Very Much)
1,My Baby
1,Sexy Time
1,Im on the Mic
1,Sugar Sandwich
1,Bigger Than a Breadbox
1,Bright Lights
1,Wise Woman
1,Scream If Youre High
1,Halfway Houseboat
1,Super Car
1,Dont Sell Hot Dogs Tonight
1,Wizards Castle
1,interview
1,Track 01
1,Track 02
1,Track 03
1,Track 04
1,Track 05
1,Track 06
1,Track 07
1,Track 08
1,Mother
1,High Society
1,Hope
1,Fear
1,Beatle Suit & Purple Boots
1,Naive Heat
1,Dinosaurs
1,Money Money Money
1,Ja Ja Ja
1,(full set)
1,interview
1,Part 01
1,Part 02
1,I Can Be Your Eyes
1,Hoodlums
1,Poseidon Waltz
1,I Saw Your Lines
1,Oriental Danzig
1,Dead Kiss
1,I Chose You
1,Loto Ball Show
1,Manouche
1,Swaggart
1,Medley - Ultimate Slumber Party
1,The Secret Admirer
1,X-Ray Gun
1,ccd to Andy
1,Anchovy
1,Sensual Pleasure
1,Do I Tingle Up?
1,Missing List
1,Synthesizer Baby
1,Hopes Up High
1,Black Balloon
1,Watch Yourself
1,Who Loves You Dear
1,The Man Downstairs
1,Swaggart 2
1,Flying Saucers Homes
1,Interview with Mink Lungs
1,My Gang
1,Heartsick
1,Hes Your Boy (but could be mine)
1,Lie
1,Searchers
1,Boys and Girls
1,Up All Night
1,Common Shell
1,Click Click Bang Bang
1,Bullet Proof Heart
1,Death By Desire
1,Tonight Ive Got a Bottle
1,He Hung On A Sunday
1,Black Tears
1,Better Run Away From Me
1,unititlednew
1,Train Wreck Blues
1,I Close My Eyes
1,InterviewPortion
1,I Can See Everything
1,I Fell
1,Take It All
1,I Believe
1,A Minute Twenty
1,Eyes Getting Louder
1,Mrs Andy Warhol
1,All The Away
1,Hope Its Today
1,Thinking Of Things To Say
1,Leaving Here
1,I Am With You
1,Big Bang
1,Mountain Mist
1,Crows
1,Enemy
1,Other Direction
1,Tongues
1,U Bug Me
1,Predator
1,Sleepwalkers
1,The Guest
1,Coffin Talk
1,We Move in Waves
1,Thunder + Lightning
1,Jesus Christ for Dinner
1,Mr Mercedes
1,Dr. Bodysnatcher
1,Not to Touch the Earth
1,Chat with Terre T
1,Live at WFMU (Full set)
1,No Contest
1,The Works
1,Beyond Luxury
1,Born To Lose
1,Ill Never Hold Anything Against You (except for the edge of my knife) 
1,Full Set (Clean Radio Edit)
1,Full Set (FCC-unfriendly)
1,Lost Cause
1,Cant Tell No One
1,Sick of Talk
1,Hypocrite
1,Dead Stop
1,Whatever I Do
1,Tied Down
1,Evacuate
1,Your Mistake
1,Why Be Something That Youre Not
1,Pressure/Fair Warning
1,Nothing
1,Borstal Breakout (Sham 69)
1,Never Surrender (Blitz)
1,Solitary Confinement
1,Interview with Brian Turner
1,Born Again in Birmingham
1,Mutton T. Lamb
1,The Lodger
1,I Am Grimaldi
1,The Best of British Luck
1,Belgian John
1,Little Lambs
1,Dick the Do Goods
1,Live on WFMU (full set)
1,Decadent Streak
1,Korean Ghost Ship
1,Down & Out
1,Crash Mob City Hades
1,Flower Eating Dreams
1,Caged Fire Theme
1,End of Cloud
1,Husk
1,Like a Rolling Stone (Aborted)
1,C Song
1,??
1,Rather Dull
1,New Wave Hippies
1,Country Punk
1,Quasar
1,Bad Vibrations
1,Cant Get Enough
1,Nothing is New
1,Crystals
1,Backwards Organ
1,Drum Machine
1,Intro / Organ Music
1,Organ Music II
1,Unity or Nothing
1,I Was a Clockwork Skinhead
1,Walk The Plank
1,Plunder & Pillage & Vandalize
1,Boxcutter Justice
1,Cant Break
1,Still Out
1,Razor Bois Anthem
1,Disco Kid
1,Count You Out
1,Lets Kick Homophobia Outta the Stage
1,I Got a Knife
1,Care-a-lot
1,Last Bullet
1,Middle East
1,Rainbow In the Dark
1,Black Metal
1,An Obvious Plot We Cant Stop
1,Live at WFMU (Full set)
1,Curse of the Strained
1,Concrete Island
1,Whistling in Hell
1,Acetone Palpable
1,Discorporate
1,Action Pants Rough
1,Shaka
1,Dog Jobs
1,Were Streaking
1,Giant Insect From Mars1
1,Dont Freak Out Terry
1,Teenage Belly Dancer
1,Louie1
1,Louie2
1,Got A Question For You
1,Once I Was A Knight
1,Skate Park
1,Crank Radio
1,Bay Ridge
1,Action Pants Clean
1,Youve Been Shambled
1,Monster Truck
1,Old Man McGuinness
1,Well Go Shambling
1,Giant Insect From Mars2
1,Louie3
1,Cop Killer
1,Live at WFMU (Full Set)
1,Gruxxe Bathe Ballade
1,Brill Building
1,Mater
1,C.O./C.A.
1,A Story Over There
1,Latin
1,Stories
1,Everywhere There
1,Semi-Streets
1,I Know Where the Madness Goes
1,"Time, Money, and Me"
1,It Goes Off
1,On and On
1,Always Complaining
1,06:00 AM
1,Reason 2 Live
1,Here Comes the Miracles
1,Southern California Line
1,Out of This World
1,Death Valley Rain
1,Sustain
1,My Favorite Game
1,Halloween
1,Drought
1,Melting In the Dark
1,There Will Come a Day
1,The Dreaded Rear Admiral
1,If God Played Punk Rock Hed Want To Be In SUX
1,Greatest Song Ever Written
1,Lyric Lab
1,What I Did On My Vacation
1,Duct Tape
1,Captain Decibel
1,The Song We Play Before We Break
1,Everybodys Fault But Mine
1,"Im Not An Asshole, Im Just Misunderstood"
1,Couch Glue
1,Willy The Car / A Fistful of Guitar Picks
1,Magic Fairy Poof Dust
1,King Kong Went To Hong Kong To PLay Pink Pong With His Ding Dong
1,Destroyed
1,Purse Peekin
1,Let Me Know
1,Took Her Hand
1,I Want You
1,Slide Over
1,Now Im Alone
1,When Youd Go
1,All These Streets
1,No Reason
1,The Ballad of JC Holmes
1,Ill Wait
1,Let Me Know
1,Never Again
1,The Ring
1,Useless
1,Yeah
1,Here We Are
1,Right Here
1,The Warning
1,Interview w/ Terre
1,Intro
1,Standing Upside Down
1,Emilia Brurrows
1,Feel Like Flying
1,Happy Fickle Girl
1,Nothings....
1,Helen
1,Live at WFMU (full set)
1,Be Your Man
1,Lord Im a Sinner
1,Give It Up
1,Peggy Sue
1,Girls
1,Cry
1,Give You All My Love
1,Summer Breeze
1,Record Holders In the Purge
1,Hearts
1,Primitive
1,Two
1,Consider Yourself a Hero
1,Im On
1,What Went Wrong?
1,Charlize Theron / Rob Wheeler
1,USMC
1,Gimmie the Creeps
1,Full Live Set
1,Jil Sander Makes Your Eyes Black
1,(full set)
1,Johnny I Lie
1,Where Is Everything
1,Hahaha
1,Ive Got The Heart
1,I Am One
1,Can I Get You
1,Wake Up
1,I Want Fun
1,Alotta Things
1,Cant Keep Myself Straight
1,Blame It On The Kids
1,Misdirection
1,Paper Plane
1,Only One
1,Full Set
1,Live on WFMU 2/23/2008
1,Kissing and Touching the Void Hem of the Cloth/Fuck Syngenta
1,Bums On a Rock
1,"Kneel, Mulholland: Drive!"
1,Irans Nuclear Threat
1,Path To the Lair
1,Tammy Wynette (Youre Just Like)
1,Scarlett Johansen Conceiving the Design
1,Why Must I Pay?
1,Civilian Life
1,Turtle V. Octopus
1,Life Is a Rehearsal
1,Ink
1,Suddenly
1,Achtung Banzai
1,Spunk Lads Dont Swim
1,Untitled
1,Wee World
1,GMT
1,Rise Up
1,Gin on the Wing
1,Girl at the March
1,Pint of No Return
1,Fascists Arent Cool
1,Encryptions
1,Sexxx Maddd
1,Iron Lady
1,Spunk Lads FC
1,Redemption Song
1,Soul Ideal
1,Live at WFMU (Full set)
1,Live at WFMU (Full set)
1,Alexander The Great
1,Roman War Heroes
1,Mausoleum
1,Committee for Immortalization
1,Coffin Liquor
1,Plastination
1,Bundle Mummies
1,Megafauna
1,Glaciers
1,Black Hole
1,The Girl Before
1,WaterBlood
1,Sex
1,Shut Yr Trap
1,Im a Bug
1,Strip Club
1,Full Session
1,Shot in the foot
1,Complete Disgrace
1,Swine
1,Cross My Heart
1,untitled
1,Election Day Sham
1,Time Traveling
1,Pushed On
1,American Dream
1,Pitch Burn
1,Soft and Together Theme
1,Loaf Times  
1,Jazz Bulb / Nice Look!  
1,What Makes a Plaza?  
1,Realming
1,Sweet and Sour Dreams
1,Radiate
1,Love Serve Remember
1,Under Skin Or By Name
1,Dont Be Afraid
1,Full Set (2008)
1,Live at WFMU (full set)
1,interview with Joe Belock
1,Live at WFMU - full set
1,Grinder
1,Kross
1,Violent
1,Latace
1,Dad Is For Eat-Mom Is For Die
1,Whats your name? whos your daddy?  
1,Yeah Baby Yeah 
1,Night cold dance 
1,Mechanical Breakdown
1,Young Jesus
1,Jailbait (I need free entance)
1,Toungue Tattoo
1,Red Panties
1,I Hear The Vibrations (live at ATP-NY 08)
1,Deaths Not Your Friend (live at ATP-NY 08)
1,Loose Lips (live at ATP-NY 08)
1,Backwards
1,First Priority
1,Little Kingdom
1,Candy Girl
1,Murderer
1,Pretty People
1,Nice Cuffs
1,Always Fade
1,First Fantasy
1,Shalom of Safed
1,Tonight
1,Eye on the Dollar
1,Walk Into The Sea
1,Breaker
1,Canada
1,Argument With Myself
1,AM Jog Banter
1,Hatchet
1,Santas Coming Over
1,Face Rake
1,Firecracker
1,Too Much Fun
1,Secret Admirer
1,Too Much Adrenaline
1,No Big Deal
1,Thing With a Hook
1,Ill Chane My Style
1,Rosemarys Baby
1,I Know How It Feels...Bad
1,"1,000,000 Kisses"
1,Nicole Told Me
1,Fire To Burn
1,Think of Me
1,I Gotta Get It Straight
1,Sorry Bout the Boat Race
1,Celebrity Virgin
1,Drive the Whip
1,Hole In My Eye
